,category,post_date,post_title,comment_date,comment_votes,comment_body,comment_stance,comment_argument,llm_stance,llm_argument
6,council tax,01/02/2025 11:02,Ministers could allow council tax to rise by up to 25% to prevent bankruptcies,01/02/2025 12:12,24.0,I used to work for a large council.,disapprove,council tax is wasted,approve,the comment simply states a past professional experience and doesnt explicitly agree or disagree with the proposed council tax rise it suggests potential insider knowledge but lacks a clear opinion
11,national insurance,30/10/2024 13:25,Employers' national insurance rise is bigger than predicted as chancellor seeks to raise £40bn in taxes | Politics News,30/10/2024 20:45,0.0,Such a stupid idea when the job market is already weak. Labour are a joke.,disapprove,job market is weak,disapprove,the comment criticizes the policy stupid idea and dismisses the opposition party labour indicating disagreement with the action described in the title regarding national insurance increases it frames the policy as detrimental to an already struggling job market
12,minimum wage,30/01/2025 19:35,"Karl Williams: Apropos of nothing, in the first six months of 2024, we gave out 1,063 health & care visas to workers from Zimbabwe. They brought with them 10,670 dependants. That's 10 dependants for every (likely minimum wage) social care worker.",31/01/2025 07:17,0.0,I know this is a joke right ? Come on someone say this isnt true. All the illegals coming on a daily basis and now this,disapprove,illegal migrants,disapprove,the comment expresses disbelief and implies the information is false directly contradicting the presented facts in the post and expressing concern about immigration illegals
13,minimum wage,30/10/2024 17:55,"Xiaowei Xu: The rise in employer costs for low earners (10th percentile) is more than double the rise for average earners. Together with the rise in the minimum wage, this means a big increase in costs for businesses hiring low-paid workers (hospitality, retail etc).",30/10/2024 19:08,17.0,"I guess she missed the bit about employment allowance allowing companies to reduce their NI liability to increase from 5,000 to 10,500..",disapprove,other types of allowance for business,disapprove,the comment highlights a mitigating factor employment allowance that lessens the cost increases xiaowei xu describes suggesting her assessment is incomplete or overly negative it implies shes overlooking a relevant policy detail
17,minimum wage,29/10/2021 12:42,"Jeremy Corbyn MP: Bankers will be as delighted with the Chancellor’s gift of a £4bn tax cut as he appeared to be when he failed to deliver for the most vulnerable, skipped over a proper minimum wage and/or a decent pension (the triple-lock) & hastened climate change (cutting air passenger tax)",29/10/2021 14:01,-16.0,Wait....does he know hes not important anymore?,disapprove,Corbyn is not important ,disapprove,the comment implies corbyns criticisms are irrelevant suggesting he lacks influence which directly contradicts the titles presentation of him as a voice of opposition and critique its a dismissive response to his stated concerns
19,minimum wage,19/08/2022 16:09,Labour sets out plan to link minimum wage to cost of living,20/08/2022 08:41,-1.0,I honestly disagree with shit like this because the Cost of Living varies so much across the UK.,disapprove,regional differences,disapprove,the commenter directly expresses disagreement with the labour plan highlighting a key flaw the cost of living isnt uniform across the uk suggesting the proposed policy is overly simplistic and potentially unfair
24,income tax,18/09/2023 07:35,Liz Truss mini-budget nearly included flat 20p rate of income tax. Proposal from Jacob Rees-Mogg described as going ‘full Estonia’.,18/09/2023 08:11,-179.0,Liz Truss must have been one of the first politicians in half a century to take office In Westminster with radical plans to unfuck the UK.,approve,radical plan to save uk,approve,the comment praises trusss proposed policies as radical and aimed at unfucking the uk indicating agreement with the idea that her plans even if extreme were necessary for significant change the phrasing suggests endorsement of a bold potentially transformative approach
38,income tax,12/01/2023 11:19,"The Times has also been told that the Treasury is discussing giving people tax breaks to go back to work Discussion is at an early stage, but there's talk around allowances and even exempting over 50s from income tax",12/01/2023 13:07,3.0,"Whats the point in getting people back in the workforce if they wont tax income. That just stops others getting the jobs that will pay tax and raise the tax burden for them as well. No you dont get a promotion as Dotty is coming out of retirement, BTW heres your income tax raise..",disapprove,unfair for other groups of people,disapprove,the comment criticizes the proposed tax breaks arguing they undermine the tax base disadvantage existing workers and ultimately shift the financial burden onto others it frames the idea as counterproductive and unfair
39,income tax,25/06/2023 05:48,Starmer indicates he will not raise income tax for top earners,25/06/2023 13:53,5.0,"Ill be honest. Between this, them keeping the triple lock, and saying no to PR Im starting to turn against Labour.",disapprove,won’t support Labour party because of its tax policy,disapprove,the comment expresses a turn against labour indicating the commenter is unhappy with policies no income tax rise triple lock and opposition to pr they perceive as insufficiently progressive or representing a departure from their expectations they clearly disagree with the direction labour is taking
40,minimum wage,18/03/2024 17:29,P&O Ferries has paid some crew less than half UK minimum wage,18/03/2024 19:32,31.0,Disgusting however completely legal in their ownership structures and uk laws. About to change apparently but I wouldnt hold my breath. Their sales are up so clearly customers dont give a monkeys,disapprove,customers are not bothered,disapprove,while acknowledging the legality of the situation the comment expresses disapproval of the practice and implies that customer behaviour contributes to the problem indicating disagreement with the described exploitation
